"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 14","1,336.80","1,330.60","1,339.72","1,327.69","","0.49%"
"2023- 08- 11","1,330.30","1,318.14","1,333.92","1,316.17","","1.02%"
"2023- 08- 10","1,316.90","1,313.10","1,319.91","1,308.18","","0.29%"
"2023- 08- 09","1,313.08","1,317.02","1,322.29","1,309.70","","-0.28%"
"2023- 08- 08","1,316.72","1,307.93","1,322.69","1,305.20","","0.72%"
"2023- 08- 07","1,307.30","1,304.29","1,309.06","1,298.80","","0.25%"
"2023- 08- 04","1,304.08","1,299.93","1,312.38","1,296.82","","0.39%"
"2023- 08- 03","1,299.01","1,299.47","1,304.23","1,294.55","","0.01%"
"2023- 08- 02","1,298.93","1,289.40","1,303.09","1,286.94","","0.77%"
"2023- 08- 01","1,289.00","1,278.28","1,291.10","1,274.88","","0.87%"
"2023- 07- 31","1,277.86","1,273.33","1,279.42","1,269.82","","0.40%"
"2023- 07- 28","1,272.83","1,284.17","1,284.89","1,273.28","","-0.85%"
"2023- 07- 27","1,283.78","1,271.42","1,284.94","1,266.98","","1.02%"
"2023- 07- 26","1,270.80","1,276.58","1,282.78","1,268.14","","-0.42%"
"2023- 07- 25","1,276.18","1,280.88","1,285.61","1,273.79","","-0.33%"
"2023- 07- 24","1,280.45","1,286.65","1,288.98","1,277.03","","-0.45%"
"2023- 07- 21","1,286.19","1,277.13","1,290.69","1,275.92","","0.76%"
"2023- 07- 20","1,276.53","1,267.94","1,280.30","1,261.56","","0.76%"
"2023- 07- 19","1,266.94","1,265.31","1,269.46","1,261.67","","0.16%"
"2023- 07- 18","1,264.95","1,263.72","1,267.55","1,256.71","","0.14%"
"2023- 07- 17","1,263.17","1,269.32","1,271.08","1,263.31","","-0.41%"
"2023- 07- 14","1,268.31","1,267.16","1,271.49","1,259.82","","0.12%"
"2023- 07- 13","1,266.73","1,274.80","1,280.03","1,265.92","","-0.61%"
"2023- 07- 12","1,274.49","1,291.87","1,296.08","1,273.70","","-1.31%"
"2023- 07- 11","1,291.47","1,299.80","1,302.00","1,289.94","","-0.61%"
"2023- 07- 10","1,299.40","1,299.10","1,307.90","1,298.25","","0.12%"
"2023- 07- 07","1,297.90","1,309.46","1,310.59","1,295.96","","-0.86%"
"2023- 07- 06","1,309.11","1,304.00","1,314.69","1,299.98","","0.42%"
"2023- 07- 05","1,303.59","1,294.81","1,306.51","1,294.41","","0.71%"
"2023- 07- 04","1,294.35","1,304.66","1,308.34","1,293.04","","-0.76%"
"2023- 07- 03","1,304.20","1,316.97","1,317.31","1,302.69","","-0.83%"
"2023- 06- 30","1,315.11","1,323.18","1,324.54","1,314.57","","-0.54%"
"2023- 06- 29","1,322.21","1,309.31","1,323.57","1,305.18","","1.02%"
"2023- 06- 28","1,308.90","1,299.48","1,313.46","1,297.30","","0.75%"
"2023- 06- 27","1,299.18","1,305.42","1,308.35","1,295.35","","-0.44%"
"2023- 06- 26","1,304.98","1,308.74","1,309.57","1,300.82","","-0.26%"
"2023- 06- 23","1,308.41","1,298.59","1,311.37","1,296.25","","0.79%"
"2023- 06- 22","1,298.18","1,288.74","1,303.21","1,286.10","","0.76%"
"2023- 06- 21","1,288.33","1,288.74","1,296.95","1,285.94","","0.01%"
"2023- 06- 20","1,288.23","1,283.26","1,290.36","1,277.99","","0.47%"
"2023- 06- 19","1,282.26","1,277.24","1,284.54","1,276.40","","0.48%"
"2023- 06- 16","1,276.15","1,270.40","1,280.96","1,268.08","","0.48%"
"2023- 06- 15","1,270.00","1,274.39","1,286.48","1,269.80","","-0.31%"
"2023- 06- 14","1,274.01","1,268.02","1,280.42","1,265.75","","0.50%"
"2023- 06- 13","1,267.70","1,284.86","1,285.88","1,267.07","","-1.31%"
"2023- 06- 12","1,284.54","1,287.69","1,294.65","1,282.80","","-0.22%"
"2023- 06- 09","1,287.32","1,296.59","1,298.65","1,286.58","","-0.63%"
"2023- 06- 08","1,295.47","1,308.66","1,309.30","1,296.15","","-0.98%"
"2023- 06- 07","1,308.26","1,299.61","1,309.44","1,296.23","","0.70%"
"2023- 06- 06","1,299.19","1,301.08","1,304.31","1,295.74","","-0.12%"
"2023- 06- 05","1,300.78","1,306.06","1,311.02","1,300.57","","-0.39%"
"2023- 06- 02","1,305.92","1,313.18","1,314.48","1,298.61","","-0.51%"
"2023- 06- 01","1,312.64","1,322.33","1,325.07","1,312.41","","-0.60%"
"2023- 05- 31","1,320.56","1,320.16","1,328.75","1,315.56","","0.06%"
"2023- 05- 30","1,319.76","1,324.96","1,327.01","1,316.90","","-0.33%"
"2023- 05- 29","1,324.07","1,323.43","1,326.76","1,320.98","","0.11%"
"2023- 05- 26","1,322.66","1,331.20","1,331.93","1,322.72","","-0.64%"
"2023- 05- 25","1,331.19","1,318.77","1,332.06","1,316.49","","0.97%"
"2023- 05- 24","1,318.43","1,320.26","1,322.18","1,314.28","","-0.06%"
"2023- 05- 23","1,319.21","1,314.17","1,322.53","1,307.65","","0.42%"
"2023- 05- 22","1,313.75","1,325.21","1,326.34","1,313.06","","-0.86%"
"2023- 05- 19","1,325.20","1,333.99","1,335.94","1,323.30","","-0.69%"
"2023- 05- 18","1,334.43","1,334.71","1,338.79","1,329.16","","0.01%"
"2023- 05- 17","1,334.23","1,342.78","1,343.91","1,332.44","","-0.60%"
"2023- 05- 16","1,342.35","1,335.79","1,343.63","1,332.91","","0.52%"
"2023- 05- 15","1,335.36","1,342.48","1,342.85","1,333.86","","-0.53%"
"2023- 05- 12","1,342.41","1,331.14","1,343.35","1,329.04","","0.87%"
"2023- 05- 11","1,330.83","1,318.21","1,334.74","1,315.58","","0.99%"
"2023- 05- 10","1,317.76","1,326.33","1,327.13","1,316.50","","-0.62%"
"2023- 05- 09","1,325.92","1,322.71","1,327.36","1,319.61","","0.34%"
"2023- 05- 08","1,321.49","1,317.96","1,326.23","1,317.94","","0.31%"
"2023- 05- 05","1,317.47","1,323.27","1,323.74","1,315.11","","-0.41%"
"2023- 05- 04","1,322.95","1,335.41","1,335.99","1,320.29","","-0.86%"
"2023- 05- 03","1,334.44","1,342.64","1,343.21","1,329.31","","-0.58%"
"2023- 05- 02","1,342.21","1,343.07","1,344.08","1,337.36","","0.00%"
"2023- 05- 01","1,342.18","1,338.17","1,343.95","1,336.43","","0.33%"
